id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1052,TATAPOWER,Mar 2024,6.965125551270159,17.469771680580646,13.227840276919272,1.659321300531586,3.054392402331103,0.4419074604110633,3569.0,9027.0,12.0,10.1113,17.0,53689,12596.0
1053,TATASTEEL,Mar 2013,-5.398182789951898,2.943316111408041,-21.280580592297788,2.0054137890670725,1.3634072580645162,0.9171818404640649,936.0,13099.0,-6.0,3.5193,-11.0,68529,14035.0
1054,TATASTEEL,Mar 2014,2.466120284764558,10.889956531686112,9.042238231520773,2.0139396032764236,3.896702789946968,0.8660287638982774,-2232.0,15378.0,3.0,4.1743,27.0,81629,13146.0
1055,TATASTEEL,Mar 2015,-2.8235749512558783,2.4436575295332035,-12.564994098695333,2.574276691441513,1.939562706270627,0.8767825830091321,2859.0,9021.0,-3.0,3.2285,-20.0,80701,11880.0
1056,TATASTEEL,Mar 2016,-0.4874221546609131,-0.6129554258814298,-1.136467575230952,1.8747599012165006,2.3030087656953326,0.5764512335768074,2661.0,8794.0,0.0,4.5085,-203.0,81987,11455.0
1057,TATASTEEL,Mar 2017,-3.712410618082084,11.704467537555988,-11.023559586451254,2.195034242047648,1.8444400630914826,0.6512087771895133,1334.0,9490.0,-4.0,3.8989,-23.0,83014,10824.0
1058,TATASTEEL,Mar 2018,14.396060008600475,17.38999910749783,29.148527213287117,1.5138078888140494,5.926856095325389,0.5904935751861328,-3707.0,11730.0,12.0,5.3162,9.0,92147,8023.0
1059,TATASTEEL,Mar 2019,5.785538057576315,18.59465081912107,13.234675371780922,1.4626913311570549,4.026370757180157,0.6773508955076405,-3840.0,29176.0,9.0,6.0197,15.0,100816,25336.0
1060,TATASTEEL,Mar 2020,0.8396689959017859,12.489897508886616,1.5956290094596066,1.5810590409916276,1.93535112173105,0.5611782507656061,6157.0,14012.0,1.0,6.4259,74.0,116328,20169.0
1061,TATASTEEL,Mar 2021,5.240124380974318,19.517063994779072,11.031937391398053,1.19210926871321,4.033653214144866,0.6407881627984208,34890.0,9437.0,6.0,6.1969,40.0,88501,44327.0
1062,TATASTEEL,Mar 2022,17.113121467131773,26.02486483384503,36.48016916718366,0.6602500808262629,11.861955327718784,0.8638101847589778,33476.0,10905.0,33.0,9.3729,16.0,75561,44381.0
1063,TATASTEEL,Mar 2023,3.3182249653795104,13.272899861518042,7.833569391358336,0.8235482431462331,5.376885219876171,0.8526853915261602,3504.0,18179.0,7.0,8.4424,50.0,84893,21683.0
1064,TATASTEEL,Mar 2024,-2.1425049417247384,9.70803461170916,-5.334926929972293,0.9461835171402184,2.1634256792754396,0.8509498277091255,6048.0,14253.0,-4.0,7.3805,-101.0,87082,20301.0
1065,TCS,Mar 2013,22.346758957913288,28.639921256092332,36.51740777253152,0.008613085663882115,400.375,1.2129130401294,5577.0,6038.0,36.0,19.6663,31.0,332,11615.0
1066,TCS,Mar 2014,23.630651884267014,30.746005940666677,39.29667649151337,0.006037198902327472,686.9230769230769,1.224154184560595,5299.0,9452.0,49.0,25.0995,33.0,297,14751.0
